"Geschäftsnummer","Bewilligungsdatum","Endverbraucherland","AG (GKV)","MTCR (GKV)","NSGI (GKV)","NSGII (GKV)","WA (GKV)","ML (GKV)","Anhang 5.1","Anhang 5.2","Anhang 5.3","ChKV","Wert"
14155,05/15/2013,"Kuwait",,,,,,"4c",,,,,27850
14156,05/15/2013,"Saudi-Arabien",,,,"2B201b1",,,,,,,430000
14157,05/15/2013,"China",,,,"2B201a1","2B001b2",,,,,,459809
14158,05/15/2013,"Russische Föderation",,,,"2B201b1",,,,,,,460400
14159,05/15/2013,"Singapur",,,,"2B001a1","2B001b2",,,,,,285433
14160,05/15/2013,"China",,,,"2B001.b2",,,,,,,263054
14162,05/15/2013,"Israel",,,,,"3A001a10c",,,,,,5207
14163,05/16/2013,"China",,,,"2B201a1","2B001b2",,,,,,453121
14164,05/16/2013,"Indien",,,,,,,5.1,,,,1102
14165,05/16/2013,"Indien",,,,,,,5.1,,,,1102
14166,05/16/2013,"Indien",,,,,,,5.1,,,,1102
14167,05/16/2013,"Vereinigte Arabische Emirate",,,,,,,5.1,,,,400
14168,05/16/2013,"Mexiko",,,,,"2B001.a",,,,,,203778
14169,05/16/2013,"Indien","2B350d5",,,,,,,,,,36900
14161,05/17/2013,"Ägypten",,,,"2B001a","2B001a",,,,,,2880
14161,05/17/2013,"Ägypten",,,,"2B201a","2B001b",,,,,,12000
14170,05/17/2013,"Indonesien",,,,,"6A005a6b2",,,,,,470640
14171,05/17/2013,"Deutschland",,,,"1C228",,,,,,,15900
14172,05/17/2013,"Algerien",,,,,,,,5.2,,,625000
14173,05/17/2013,"Katar",,,,,"3A001g2",,,,,,53704
14174,05/17/2013,"Israel",,,,,,,5.1,,,,258
14175,05/17/2013,"Taiwan, Provinz von China",,,,"2B201b1",,,,,,,700000
14176,05/17/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,295200
14177,05/21/2013,"Frankreich",,,,"2B201a1","2B001b2",,,,,,920000
14178,05/21/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,799100
14179,05/21/2013,"Kuwait",,,,,,,5.1,,,,6987
14180,05/22/2013,"Jordanien","2B350i1",,,,,,,,,,68474
14181,05/22/2013,"China",,,,,"6A005a6b2",,,,,,315000
14182,05/22/2013,"Vereinigte Staaten","2B352c",,,,,,,,,,18000
14184,05/22/2013,"Tunesien",,,,,"2B001a",,,,,,305000
14185,05/22/2013,"Slowakei, Slowakische Republik",,,,,"6A002c1",,,,,,190620
14185,05/22/2013,"Slowakei, Slowakische Republik",,,,,"6A002c1",,,,,,77996
14186,05/22/2013,"China",,,,"2B201b1",,,,,,,535000
14193,05/23/2013,"Israel",,,,,"2B001a",,,,,,136077
14194,05/23/2013,"China",,,,"2B201b1",,,,,,,432000
14195,05/23/2013,"China",,"7A103a",,,,,,,,,151596
14197,05/24/2013,"Russische Föderation",,,,"2B201a1",,,,,,,2294302
14198,05/24/2013,"Aserbaidschan",,,,,"6A002c1",,,,,,87200
14198,05/24/2013,"Aserbaidschan",,,,,"6A002c1",,,,,,97800
14199,05/24/2013,"Brasilien",,,,,"6A005a6b2",,,,,,2433121
14200,05/24/2013,"Ägypten",,,,,"3A001g2",,,,,,63840
14201,05/24/2013,"China",,,,"3A228c",,,,,,,131040
14202,05/24/2013,"China",,,,"3A228c",,,,,,,13104
14204,05/27/2013,"Serbien",,,,,"5A002a1a",,,,,,10147
14205,05/27/2013,"China","2B350d5",,,,,,,,,,335070
14206,05/27/2013,"Brasilien",,,,,,"1a",,,,,31385
14207,05/28/2013,"Tansania, Vereinigte Republik",,,,,"5A002a1a",,,,,,9600
14209,05/28/2013,"Tschechische Republik",,,,,"5A001i",,,,,,2500
14210,05/28/2013,"Thailand",,,,,"3A001a10c",,,,,,95219
14211,05/28/2013,"Israel",,,,,"3A001a10c",,,,,,20918
14212,05/28/2013,"Israel",,,,,"3A001a10c",,,,,,7902
14213,05/28/2013,"China",,,,"2B201a1","2B001b2",,,,,,4854662
14214,05/28/2013,"Japan",,,,,,22,,,,,1
14215,05/28/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,3341
14216,05/29/2013,"Hong Kong",,,,,"2B001a",,,,,,584376
14217,05/29/2013,"Brasilien","2B352b",,,,,,,,,,310000
14218,05/29/2013,"China",,,,"2B201a1",,,,,,,188249
14219,05/29/2013,"Malaysia",,,,,"2B001a",,,,,,617000
14221,05/30/2013,"China",,,,"2B201a1","2B001b2",,,,,,420453
14222,05/30/2013,"Korea, Republik",,"2B120",,,"7B003",,,,,,500000
14223,05/30/2013,"Ukraine","2B350d3",,,,,,,,,,76080
14224,05/30/2013,"Bolivien",,"7A103a",,,,,,,,,151596
14208,05/31/2013,"Costa Rica",,,,,,,5.1,,,,15600
14226,05/31/2013,"Großbritannien (Vereinigtes Königreich)",,,,,,10,,,,,2975
14227,06/03/2013,"Vereinigte Staaten",,"2B120",,,"7B003",,,,,,300000
14228,06/03/2013,"Indien",,,,,,,5.1,,,,1102
14229,06/03/2013,"Indien",,,,,,,5.1,,,,1102
14230,06/03/2013,"Kroatien (Hrvatska)",,,,,"2B001a",,,,,,1087825
14230,06/03/2013,"Kroatien (Hrvatska)",,,,"2B001a","2B001a",,,,,,1
14231,06/03/2013,"Saudi-Arabien","2B350g3",,,,,,,,,,8250
14232,06/03/2013,"Slowakei, Slowakische Republik",,"7A103a",,,,,,,,,151596
14233,06/03/2013,"Mexiko",,,,,,"15d",,,,,57200
14233,06/03/2013,"Mexiko",,,,,"6A002a3f",,,,,,7300
14234,06/03/2013,"Serbien",,,,,,"5b",,,,,40000
14234,06/03/2013,"Serbien",,,,,"6A002c1",,,,,,25000
14235,06/03/2013,"Peru",,"7A103a",,,,,,,,,151596
14220,06/04/2013,"China",,,,"2B201a1","2B001b2",,,,,,234175
14236,06/04/2013,"Israel",,,,,"2B001a",,,,,,278176
14237,06/05/2013,"Ägypten","2B350g2",,,,,,,,,,5869
14238,06/05/2013,"Vereinigte Arabische Emirate",,,,,"6A005a6b2",,,,,,314960
14239,06/05/2013,"China",,,,,"3B001e",,,,,,6800000
14240,06/05/2013,"Indien",,,,"2D202","2D002",,,,,,8701
14241,06/05/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,340031
14243,06/05/2013,"Russische Föderation",,,,"2B201a1",,,,,,,233110
14244,06/05/2013,"Russische Föderation",,,,,"2B001a",,,,,,659699
14245,06/05/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,114682
14246,06/05/2013,"Vereinigte Arabische Emirate",,,,,"3A001g2",,,,,,106043
14247,06/05/2013,"Taiwan, Provinz von China",,,,,"2D002",,,,,,8357
14248,06/06/2013,"China",,,,"2B001a","2B001a",,,,,,280281
14249,06/06/2013,"Vereinigte Arabische Emirate",,,,,,,5.1,,,,1700
14250,06/06/2013,"China",,,,"2B201b","2B001c1",,,,,,323629
14251,06/06/2013,"Singapur",,,,"1C231",,,,,,,4200
14252,06/06/2013,"Bulgarien","2B350i4",,,,,,,,,,307625
14253,06/06/2013,"Kroatien (Hrvatska)",,,,,"2B001a",,,,,,659430
14254,06/06/2013,"Mexiko","2B352d",,,,,,,,,,4459
14255,06/07/2013,"China",,,,,,"1a",,,,,26824
14256,06/07/2013,"Indien",,,,,,,5.1,,,,4408
14257,06/07/2013,"China",,,,,"3A001a5a5",,,,,,20051
14258,06/07/2013,"Deutschland",,,,"2B231",,,,,,,49213
14259,06/07/2013,"Tschechische Republik",,,,"2B001a","2B001a",,,,,,270600
14260,06/07/2013,"Kolumbien",,,,,"6A002a3f",,,,,,7300
14260,06/07/2013,"Kolumbien",,,,,"6A002c1",,,,,,10600
14261,06/07/2013,"China",,"2B120",,,"7B003a",,,,,,392900
14262,06/10/2013,"China",,,,,"6A005a6b2",,,,,,208926
14263,06/10/2013,"Russische Föderation",,,,"2B201a","2B001b",,,,,,261900
14264,06/10/2013,"Deutschland","2B350i4",,,,,,,,,,2018
14265,06/11/2013,"China",,"7A101a",,,,,,,,,8400
14266,06/11/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,91640
14268,06/11/2013,"Mongolei",,,,,"5A002a1a",,,,,,22000
14269,06/11/2013,"China",,,,,"2B001a",,,,,,333000
14271,06/12/2013,"Indonesien",,,,,"5A002a1a",,,,,,61000
14270,06/13/2013,"Kasachstan",,,,"2B201b","2B001c",,,,,,401130
14272,06/13/2013,"Brasilien",,,,,"6A005a6b2",,,,,,205951
14273,06/13/2013,"Brasilien",,,,,"6A002c1",,,,,,40680
14275,06/13/2013,"Chile","2B350g2",,,,,,,,,,7044
14274,06/14/2013,"Indonesien","2B350b3",,,,,,,,,,15600
14277,06/14/2013,"Uruguay",,,,,"5A002a1a",,,,,,50540
14278,06/14/2013,"Brasilien",,,,,"6A005a6b2",,,,,,756191
14279,06/14/2013,"China",,,,,"6A002c1",,,,,,78080
14279,06/14/2013,"China",,,,,"6A002c1",,,,,,45280
14281,06/14/2013,"Vereinigte Staaten",,,,,,11,,,,,123
14281,06/14/2013,"Vereinigte Staaten",,,,,,"21b4",,,,,123
14282,06/14/2013,"Russische Föderation",,,,"2B201b1",,,,,,,1139325
14287,06/14/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,3817
14288,06/14/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,3829
14267,06/17/2013,"China",,,,"2B201a1","2B001b2",,,,,,243531
14283,06/17/2013,"Zentralafrikanische Republik",,,,,,,5.1,,,,535
14284,06/17/2013,"China",,"7A103a",,,,,,,,,360747
14285,06/17/2013,"Taiwan, Provinz von China",,,,"2B201b","2B001a",,,,,,1094500
14286,06/17/2013,"China",,,,"2B201b1","2B001c1",,,,,,398719
14289,06/17/2013,"Taiwan, Provinz von China",,,,"2B201b",,,,,,,345000
14290,06/17/2013,"Taiwan, Provinz von China",,,,"2B201b1",,,,,,,521000
14292,06/17/2013,"Brasilien",,,,,,"10f",,,,,149900
14293,06/18/2013,"Israel",,,,"2B201a1","2B001b2",,,,,,351015
14294,06/18/2013,"Vereinigte Staaten",,,,,,"11a",,,,,23964
14295,06/18/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,118615
14296,06/18/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,253031
14297,06/18/2013,"Taiwan, Provinz von China",,,,"2B201b","2B001c",,,,,,856745
14298,06/18/2013,"Indien","2B350g2",,,,,,,,,,3132
14299,06/18/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,4211
14300,06/18/2013,"Pakistan",,,,,"5A001i",,,,,,40000
14301,06/19/2013,"China",,,,"2B201b1",,,,,,,1398000
14302,06/19/2013,"Vereinigte Staaten",,,"0B002g",,,,,,,,3340
14303,06/19/2013,"China",,,,"2B201b","2B001c",,,,,,820000
14304,06/19/2013,"China",,,,"2B201b1",,,,,,,370510
14305,06/19/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,1407044
14306,06/19/2013,"Äthiopien",,,,,"5A001i",,,,,,1300
14307,06/19/2013,"Taiwan, Provinz von China",,"7A103a",,,,,,,,,58835
14308,06/19/2013,"Israel",,,,"1C231",,,,,,,5775
14280,06/20/2013,"Chile",,,,,,,5.1,,,,20052
14309,06/20/2013,"Vereinigte Staaten",,,,,,"5d",,,,,3018
14309,06/20/2013,"Vereinigte Staaten",,,,,,"5d",,,,,16761
14310,06/20/2013,"Russische Föderation",,,,,"2B001a",,,,,,240574
14311,06/20/2013,"Indien",,,,,,,5.1,,,,1335
14311,06/20/2013,"Indien",,,,,,,5.1,,,,1520
14313,06/20/2013,"Belarus",,,,"2B001a","2B001a",,,,,,314950
14319,06/20/2013,"China",,"7A103a",,,,,,,,,151596
14320,06/20/2013,"Taiwan, Provinz von China",,,,,,"10c",,,,,20160
14321,06/21/2013,"Indien",,,,,"5B001a",,,,,,2000000
14322,06/21/2013,"Brasilien",,,,,"2B001a",,,,,,280240
14323,06/21/2013,"Singapur",,,,,"5A002a1a",,,,,,26835
14324,06/21/2013,"Taiwan, Provinz von China",,,,"2B201b1","2B001c",,,,,,965000
14325,06/21/2013,"Russische Föderation",,,,"2B201b1",,,,,,,631280
14328,06/24/2013,"Kasachstan",,,,,"6A005a6b2",,,,,,541815
14329,06/24/2013,"China",,,,,"6A005a5b",,,,,,66480
14330,06/24/2013,"China","2B352b",,,,,,,,,,140513
14331,06/24/2013,"China",,,,"2B201a1",,,,,,,251854
14332,06/24/2013,"Slowenien",,,,,"2B001a",,,,,,136800
14333,06/25/2013,"China",,,,"1C233",,,,,,,28000
14334,06/25/2013,"China",,,,,"6A002c1",,,,,,629880
14334,06/25/2013,"China",,,,,"6A002c1",,,,,,1448979
14335,06/25/2013,"Israel",,,,,,"21b",,,,,20432
14336,06/25/2013,"Großbritannien (Vereinigtes Königreich)",,,,"2B201a1","2B001b2",,,,,,140204
14337,06/25/2013,"Großbritannien (Vereinigtes Königreich)",,,,"2B201a1","2B001b2",,,,,,140204
14327,06/26/2013,"Israel",,,,,"7A002a+b",,,,,,670000
14339,06/26/2013,"Russische Föderation",,,,"2B201a2",,,,,,,264000
14340,06/26/2013,"Russische Föderation",,,,"2B201a",,,,,,,90000
14341,06/26/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,138724
14342,06/26/2013,"Vereinigte Arabische Emirate",,,,,,"3a",,,,,3960
14342,06/26/2013,"Vereinigte Arabische Emirate",,,,,,"1a",,,,,10500
14344,06/26/2013,"Frankreich",,,,,,,,5.2,,,520
14345,06/26/2013,"Brasilien",,,,"2B201a",,,,,,,215000
14338,06/27/2013,"Großbritannien (Vereinigtes Königreich)",,,,"1C210b",,,,,,,10568
14346,06/27/2013,"Angola","2B350g2",,,,,,,,,,3753
14347,06/27/2013,"Südafrika",,,,,"6A002c1",,,,,,11830
14348,06/27/2013,"Italien",,,,,,"11a",,,,,122470
14349,06/27/2013,"Indonesien",,,,,"6A002c1",,,,,,144354
14350,06/27/2013,"Angola",,,,,,"10a",,,,,29807
14351,06/27/2013,"Italien",,,,,,11,,,,,68
14352,06/27/2013,"China",,,,,"9A012a2",,,,,,43400
14353,06/27/2013,"Deutschland",,,,,,"21b4",,,,,68
14355,06/27/2013,"China",,,,"2B201a1",,,,,,,208321
14356,06/28/2013,"Saudi-Arabien",,,,,,,,5.2,,,1000000
14357,06/28/2013,"Indien",,,,,,,5.1,,,,1102
14358,06/28/2013,"Indien",,,,,,,5.1,,,,1102
14359,06/28/2013,"Vietnam",,,,,,"11a",,,,,1406946
14360,06/28/2013,"Mexiko","2B352d",,,,,,,,,,10977
14361,06/28/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,6223
14362,06/28/2013,"Indien",,,,"2B201a",,,,,,,103000
14363,06/28/2013,"Korea, Republik",,,,,"6A005a6b2",,,,,,343000
14183,07/01/2013,"Kuwait",,,,,"5A002a1a",,,,,,241500
14364,07/01/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,307869
14365,07/01/2013,"Israel",,,,,"5A002a1a",,,,,,19200
14366,07/01/2013,"Russische Föderation",,,,"2B201b1","2B001c1",,,,,,789800
14367,07/01/2013,"Russische Föderation",,,,"2B201a","2B001b2",,,,,,1063900
14343,07/02/2013,"Russische Föderation",,,,,"6A003b4",,,,,,150000
14368,07/02/2013,"Deutschland",,,"0B002g",,,,,,,,36490
14370,07/02/2013,"Großbritannien (Vereinigtes Königreich)",,,,,,10,,,,,7488
14371,07/02/2013,"Taiwan, Provinz von China",,,,,,"21b4",,,,,69
14372,07/02/2013,"Russische Föderation",,,,"2B201a","2B001b2",,,,,,696580
14375,07/03/2013,"China",,,,,"6A002a2a",,,,,,2561
14376,07/03/2013,"Brasilien",,,,,"6A005a6b2",,,,,,545519
14377,07/03/2013,"Russische Föderation",,,,"2B001a","2B001a",,,,,,140266
14378,07/03/2013,"Thailand",,,,"2B201b","2B001c",,,,,,514390
14379,07/03/2013,"Russische Föderation","2B350d3",,,,,,,,,,126680
14380,07/03/2013,"Südafrika",,,,,,"4c",,,,,5000
14381,07/03/2013,"Korea, Republik",,,,,"6A005a6b2",,,,,,424800
14382,07/03/2013,"Israel",,,,,"2B001a",,,,,,297644
14190,07/04/2013,"Algerien",,,,,"5A001i",,,,,,4879406
14225,07/04/2013,"Bahrain",,,,,"6A002c1",,,,,,159830
14383,07/04/2013,"Pakistan","2B350g2",,,,,,,,,,1845
14384,07/04/2013,"Russische Föderation",,,,,,"1a",,,,,171981
14385,07/04/2013,"Russische Föderation",,,,"2B231",,,,,,,299936
14386,07/04/2013,"Vereinigte Arabische Emirate",,,,,,"01a",,,,,25650
14374,07/05/2013,"Russische Föderation",,,,,,,5.1,,,,31467
14387,07/05/2013,"Taiwan, Provinz von China",,,,,"2D002",,,,,,8088
14388,07/05/2013,"Uruguay",,,,,,,5.1,,,,6790
14389,07/05/2013,"Argentinien",,,,,,,5.1,,,,3050
14390,07/05/2013,"Vereinigte Staaten",,,,"2B201a1","2B001b2",,,,,,720774
14391,07/05/2013,"Brasilien",,,,,"6A002a3f",,,,,,6860
14392,07/05/2013,"Chile",,,,,"6A002c1",,,,,,348000
14393,07/05/2013,"Kasachstan",,,,,"6A002c1",,,,,,7760
14393,07/05/2013,"Kasachstan",,,,,"6A002c1",,,,,,9675
14395,07/08/2013,"Ungarn",,,,"2B201b1",,,,,,,293250
14396,07/08/2013,"China",,,,,"6A005a6b2",,,,,,507309
14397,07/08/2013,"Indien",,,,"2B201b1",,,,,,,177600
14398,07/08/2013,"Ecuador",,,,,,"10a",,,,,46980
14399,07/08/2013,"Vereinigte Staaten",,,,"2B201a1","2B001b2",,,,,,720774
14400,07/09/2013,"Kroatien (Hrvatska)",,,,"2B201a1","2B001b2",,,,,,1019075
14401,07/10/2013,"Südafrika",,,,,"7A003c1",,,,,,729672
14402,07/10/2013,"Russische Föderation",,,,"2B231",,,,,,,92000
14403,07/10/2013,"Brasilien",,,,,"6A005a6b2",,,,,,460023
14404,07/11/2013,"Russische Föderation","2B350g3",,,,,,,,,,1100
14404,07/11/2013,"Russische Föderation","2B350d3",,,,,,,,,,3500
14405,07/11/2013,"Indien","2B352b",,,,,,,,,,1165000
14406,07/11/2013,"China",,,,"2B201a1","2B001b2",,,,,,241783
14407,07/12/2013,"China",,,,,"6A005a6b2",,,,,,380000
14408,07/12/2013,"Chile",,,,,"6A002c1",,,,,,23200
14408,07/12/2013,"Chile",,,,,"6A002c1",,,,,,18560
14409,07/12/2013,"Malaysia",,,,,,,5.1,,,,1374
14410,07/12/2013,"Vereinigte Staaten",,,,,,"11a",,,,,22766
14411,07/12/2013,"Indien",,,,,,"01a",,,,,4507
14411,07/12/2013,"Indien",,,,,,"01a",,,,,2396
14412,07/12/2013,"Russische Föderation",,"7A103a",,,,,,,,,2010883
14413,07/12/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,3925
14414,07/12/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,752
14415,07/12/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,591630
14416,07/12/2013,"China",,,,"2B201a","2B001b2",,,,,,687000
14418,07/15/2013,"Singapur",,,,"2B201b1","2B001c1",,,,,,384309
14419,07/15/2013,"Mexiko",,,,,"6A005a6b2",,,,,,516420
14420,07/15/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,750
14421,07/15/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,4026648
14422,07/16/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,402694
14423,07/16/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,402694
14424,07/16/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,402694
14425,07/16/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,402694
14426,07/16/2013,"China",,,,"3A228c",,,,,,,10836
14427,07/16/2013,"China",,,,"3A228c",,,,,,,107910
14428,07/16/2013,"Großbritannien (Vereinigtes Königreich)",,,,,"3A001a10c",,,,,,39312
14429,07/16/2013,"Israel",,,,,"6A005a6b2",,,,,,548080
14430,07/16/2013,"Indien",,,,,,,5.1,,,,1102
14431,07/16/2013,"Indien",,,,,,,5.1,,,,1102
14432,07/16/2013,"Vereinigte Staaten",,,"0C003",,,,,,,,220000
14433,07/16/2013,"China",,,,,"7B003a",,,,,,28524
14434,07/16/2013,"Jordanien","2B350g2",,,,,,,,,,15890
14435,07/17/2013,"China",,,,,"6A005a6b2",,,,,,76600
14436,07/17/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,1347676
14437,07/17/2013,"Russische Föderation",,,,,"2B001a",,,,,,761424
14438,07/17/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,422803
14439,07/17/2013,"Vietnam",,,,,,22,,,,,5000000
14440,07/17/2013,"Singapur",,,,,,"22a",,,,,5000000
14442,07/18/2013,"Russische Föderation",,,,"2B201b1","2B001c1",,,,,,357000
14443,07/18/2013,"Malaysia",,,,,"5A002a1a",,,,,,11380
14444,07/18/2013,"Russische Föderation",,,,"2B201b1","2B001c",,,,,,1135700
14445,07/18/2013,"Brasilien",,,,,"5A002a1a",,,,,,5664
14446,07/18/2013,"China",,,,,"5A002a1a",,,,,,456000
14447,07/18/2013,"China",,,,,"5A002a1a",,,,,,8000
14441,07/19/2013,"Deutschland",,,"0B002g",,,,,,,,5580
14448,07/19/2013,"Niederlande",,"2B120",,,"7B003a",,,,,,350000
14449,07/19/2013,"Kolumbien",,,,,"6A005a6b2",,,,,,466117
14450,07/19/2013,"Italien",,,,,,"22a",,,,,200
14451,07/19/2013,"China",,,,,"6A002c1",,,,,,128580
14453,07/22/2013,"Panama",,,,,"5A002a1a",,,,,,10700
14454,07/22/2013,"China",,,,,"2D002",,,,,,5961
14456,07/23/2013,"Taiwan, Provinz von China",,,,"2B201b1",,,,,,,480000
14457,07/23/2013,"Deutschland",,"2B120",,,"7B003a",,,,,,300000
14458,07/23/2013,"Niederlande","2B350g2",,,,,,,,,,2537
14459,07/23/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,402648
14460,07/23/2013,"Niederlande","2B350g2",,,,,,,,,,788
14461,07/23/2013,"Brasilien",,,,,,,5.1,,,,15000
14461,07/23/2013,"Brasilien",,,,,,,5.1,,,,16200
14462,07/23/2013,"Saudi-Arabien","2B350g3",,,,,,,,,,27056
14455,07/24/2013,"Indien",,,,,,"1a",,,,,13631
14455,07/24/2013,"Indien",,,,,,"3a",,,,,1083
14455,07/24/2013,"Indien",,,,,,,5.1,,,,2774
14455,07/24/2013,"Indien",,,,,,"3a",,,,,697
14463,07/24/2013,"Taiwan, Provinz von China",,,,"2B201a1",,,,,,,285750
14464,07/24/2013,"Singapur",,,,,"6A005a6b2",,,,,,491740
14465,07/24/2013,"Saudi-Arabien",,,,,,"1a",,,,,17020
14465,07/24/2013,"Saudi-Arabien",,,,,,"3a",,,,,780
14452,07/25/2013,"Taiwan, Provinz von China",,,,,"5A002a1a",,,,,,16000
14467,07/25/2013,"Deutschland",,,,,,,,5.2,,,1000
14469,07/25/2013,"Deutschland",,,,,"2B120",,,,,,400000
14470,07/25/2013,"Niederlande","2B350g2",,,,,,,,,,28729
14474,07/26/2013,"Belarus","2B350g4",,,,,,,,,,53033
14474,07/26/2013,"Belarus","2B350d1",,,,,,,,,,11250
14476,07/26/2013,"Indien",,,,,,"10a",,,,,165000000
14477,07/26/2013,"Israel",,,,,"6A005a6b2",,,,,,314960
14468,07/29/2013,"Algerien",,,,,,"4c",,,,,135000
14479,07/29/2013,"Russische Föderation",,,,"2B201a1",,,,,,,234315
14480,07/29/2013,"China",,,,,"6A005a6b2",,,,,,203360
14482,07/29/2013,"Japan",,,,"3A233a",,,,,,,415000
14192,07/30/2013,"Pakistan",,,,,,"9c",,,,,5390721
14483,07/30/2013,"Taiwan, Provinz von China",,,,,"9A012a2",,,,,,43050
14484,07/30/2013,"Italien","2B350g2",,,,,,,,,,35814
14485,07/30/2013,"Turkmenistan","2B350g4",,,,,,,,,,3950
14486,07/30/2013,"Russische Föderation","2B350a,b,d,g3",,,,,,,,,,77550
14487,07/30/2013,"Deutschland",,,"0B002g",,,,,,,,14487
14490,07/31/2013,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,4019400
14491,07/31/2013,"Tunesien",,,,,,"10f",,,,,3960
14492,07/31/2013,"Madagaskar",,,,,,1,,,,,650
14492,07/31/2013,"Madagaskar",,,,,,"3a",,,,,120
14493,08/02/2013,"Brasilien",,,,,,,5.1,,,,3284
14494,08/02/2013,"Brasilien",,,,,,,5.1,,,,1642
14495,08/02/2013,"Vereinigte Staaten",,,,,,"11a",,,,,45532
14496,08/02/2013,"Malaysia",,,,,"6A002c1",,,,,,11295
14496,08/02/2013,"Malaysia",,,,,"6A002a3f",,,,,,11472
14497,08/05/2013,"Slowakei, Slowakische Republik",,,,,"6A005a6b2",,,,,,535354
14498,08/06/2013,"Singapur",,,,,,,5.1,,,,5700
14499,08/06/2013,"Russische Föderation",,,,,"6A005a6b2",,,,,,408590
14500,08/06/2013,"Brasilien",,,,,"6A005a6b2",,,,,,511500
14501,08/06/2013,"Brasilien",,,,,"6A005a6b2",,,,,,661095
14503,08/06/2013,"China",,,,"2B201a","2B001b2",,,,,,524118
14504,08/07/2013,"China",,,,"2B201a1","2B001b2",,,,,,940000
14505,08/07/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,3941
14506,08/08/2013,"Taiwan, Provinz von China",,,,,"5A002a1a",,,,,,148800
14507,08/08/2013,"Pakistan",,,,,"7B003a",,,,,,4917
14508,08/08/2013,"Brasilien","2B350e2",,,,,,,,,,38517
14509,08/08/2013,"Deutschland","2B350g2",,,,,,,,,,1635
14510,08/08/2013,"Taiwan, Provinz von China",,,,,"2D002",,,,,,6577
14511,08/09/2013,"Großbritannien (Vereinigtes Königreich)",,,,"2B201a1","2B001b2",,,,,,597933
14512,08/09/2013,"Deutschland",,,,"2B201a1","2B001b2",,,,,,419905
14513,08/09/2013,"Deutschland",,,,"2B201a1","2B001b2",,,,,,418757
14514,08/09/2013,"Indonesien",,,,,"6A002c1",,,,,,255893
14515,08/09/2013,"Kroatien (Hrvatska)",,,,,"2B001a",,,,,,888100
14516,08/09/2013,"Portugal",,,,,,"4a",,,,,33500
14517,08/09/2013,"Israel",,,,"1C231",,,,,,,6600
14518,08/12/2013,"Deutschland","2B350i3",,,,,,,,,,1217
14519,08/12/2013,"Rumänien",,,,,"6A002c1",,,,,,20080
14519,08/12/2013,"Rumänien",,,,,"6A002c1",,,,,,8723
14519,08/12/2013,"Rumänien",,,,,"6A002a3f",,,,,,7500
14520,08/12/2013,"Kuwait",,,,,"5A002a1a",,,,,,110000
14521,08/12/2013,"Uruguay",,,,,,,5.1,,,,1435
14522,08/12/2013,"Thailand",,,,,"3A001a10c",,,,,,95310
14523,08/13/2013,"Brasilien",,,,,,,5.1,,,,2880
14524,08/13/2013,"Russische Föderation",,,,"2B201a","2B001b",,,,,,338580
14525,08/13/2013,"Russische Föderation",,,,"2B201a","2B001b",,,,,,338580
14526,08/13/2013,"Russische Föderation",,,,"2B201a","2B001b",,,,,,338580
14527,08/13/2013,"Russische Föderation",,,,"2B201a","2B001b",,,,,,338580
14528,08/13/2013,"Tansania, Vereinigte Republik",,,,,,"3a",,,,,100
14529,08/13/2013,"Thailand",,,,"2B001a","2B001a",,,,,,168462
14530,08/13/2013,"Brasilien",,,,"2B001a","2B001a",,,,,,353375
14531,08/13/2013,"Estland",,,,"2B201a1",,,,,,,292602
14532,08/13/2013,"Uganda",,,,,"9A012a2",,,,,,43750
14533,08/13/2013,"Iran, Islamische Republik (SG)",,,,,,,,,,,6995
14534,08/13/2013,"Russische Föderation",,,,,"2B001a",,,,,,218900
14466,08/14/2013,"Pakistan",,,,,,"17h",,,,,73621900
