"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"950",11807,1,2012-01-18,"Indonesien",27900,"GKV","3A001a2c","3","A","001a2c","Tracker"
"951",11808,1,2012-01-18,"China",253000,"GKV","2B201a","2","B","201a","Tracker"
"952",11809,1,2012-01-18,"Neuseeland",18000,"ML (GKV)","5a","5","a","","Tracker"
"953",11810,1,2012-01-17,"Iran",2490,"unbekannt","unbekannt","","","","Tracker"
"954",11811,1,2012-01-18,"China",2100,"GKV","2B350g3","2","B","350g3","Tracker"
"955",11812,1,2012-01-18,"China",7050,"GKV","2B350g3","2","B","350g3","Tracker"
"956",11812,2,2012-01-18,"China",7000,"GKV","2B350d3","2","B","350d3","Tracker"
"957",11813,1,2012-01-24,"Brasilien",52360,"ML (GKV)","4c","4","c","","Tracker"
"958",11814,1,2012-01-18,"Russland",238965,"GKV","2B001a","2","B","001a","Tracker"
"959",11814,2,2012-01-18,"Russland",214768,"GKV","2B001a","2","B","001a","Tracker"
"960",11815,1,2012-01-19,"Schweden",18455,"ML (GKV)","4c","4","c","","Tracker"
"961",11816,1,2012-01-19,"China",580000,"GKV","2B001a","2","B","001a","Tracker"
"962",11817,1,2012-01-19,"Singapur",230000,"GKV","2B001a","2","B","001a","Tracker"
"963",11818,1,2012-01-23,"Weissrussland",26104,"5.1","5.1","1","","","Tracker"
"964",11819,1,2012-01-27,"Kenia",170120,"GKV","5A001f","5","A","001f","Tracker"
"965",11820,1,2012-01-23,"Kasachstan",95544,"ML (GKV)","1a","1","a","","Tracker"
"966",11821,1,2012-01-19,"Peru",15730,"GKV","5A002.a1a","5","A","002a1a","Tracker"
"967",11822,1,2012-01-19,"Frankreich",790,"5.1","5.1","1","","","Tracker"
"968",11823,1,2012-01-20,"Russland",27000,"GKV","1B231b2","1","B","231b2","Tracker"
"969",11823,2,2012-01-20,"Russland",106250,"GKV","1B231a","1","B","231a","Tracker"
"970",11824,1,2012-01-20,"Serbien",5500,"GKV","2B001a1","2","B","001a1","Tracker"
"971",11825,1,2012-01-20,"Ukraine",6900,"GKV","2B231","2","B","231","Tracker"
"972",11826,1,2012-01-20,"Indien",252656,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"973",11827,1,2012-01-20,"Russland",652715,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"974",11828,1,2012-01-20,"Mongolei",7286,"ML (GKV)","1","1","","","Tracker"
"975",11829,1,2012-01-20,"Slowakei",180000,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"976",11830,1,2012-01-23,"Russland",276070,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"977",11831,1,2012-01-24,"Hong Kong",740000,"GKV","2B001a1|2B001b2","2","B","001a1","Tracker"
"978",11832,1,2012-01-23,"Niederlande",6000,"GKV","0B001b14","0","B","001b14","Tracker"
"979",11833,1,2012-01-23,"China",5615,"GKV","2B350g2","2","B","350g2","Tracker"
"980",11834,1,2012-01-23,"Israel",659280,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"981",11835,1,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"982",11835,2,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"983",11835,3,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"984",11835,4,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"985",11836,1,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
